district_id,state_id,female_housereps,name
9,53,0,Washington
10,53,0,Washington
1,54,0,WestVirginia
2,54,0,WestVirginia
3,54,0,WestVirginia
1,55,0,Wisconsin
2,55,0,Wisconsin
3,55,0,Wisconsin
4,55,1,Wisconsin
5,55,0,Wisconsin
6,55,0,Wisconsin
7,55,0,Wisconsin
8,55,0,Wisconsin
0,56,0,Wyoming
